No.,Date,Time,Header,Data,Unit
1,04/05/2022,00:49:58,,49.87,
2,04/05/2022,00:49:58,,49.94,
3,04/05/2022,00:49:58,,50.01,
4,04/05/2022,00:49:58,,50.04,
5,04/05/2022,00:49:58,,50.12,
6,04/05/2022,00:49:58,,50.19,
7,04/05/2022,00:49:59,,50.25,
8,04/05/2022,00:49:59,,50.33,
9,04/05/2022,00:49:59,,50.43,
10,04/05/2022,00:49:59,,50.51,
11,04/05/2022,00:50:00,,50.58,
12,04/05/2022,00:50:00,,50.64,
13,04/05/2022,00:50:00,,50.68,
14,04/05/2022,00:50:00,,50.75,
15,04/05/2022,00:50:00,,50.82,
16,04/05/2022,00:50:01,,50.89,
17,04/05/2022,00:50:01,,50.97,
18,04/05/2022,00:50:01,,51.00,
19,04/05/2022,00:50:01,,51.07,
20,04/05/2022,00:50:01,,51.14,
21,04/05/2022,00:50:02,,51.21,
22,04/05/2022,00:50:02,,51.28,
23,04/05/2022,00:50:02,,51.32,
24,04/05/2022,00:50:02,,51.39,
25,04/05/2022,00:50:02,,51.46,
26,04/05/2022,00:50:03,,51.53,
27,04/05/2022,00:50:03,,51.61,
28,04/05/2022,00:50:03,,51.64,
29,04/05/2022,00:50:03,,51.72,
30,04/05/2022,00:50:03,,51.79,
31,04/05/2022,00:50:04,,51.86,
32,04/05/2022,00:50:04,,51.94,
33,04/05/2022,00:50:04,,51.97,
34,04/05/2022,00:50:04,,52.04,
35,04/05/2022,00:50:04,,52.12,
36,04/05/2022,00:50:04,,52.19,
37,04/05/2022,00:50:05,,52.28,
38,04/05/2022,00:50:05,,52.30,
39,04/05/2022,00:50:05,,52.37,
40,04/05/2022,00:50:05,,52.43,
41,04/05/2022,00:50:05,,52.50,
42,04/05/2022,00:50:06,,52.55,
43,04/05/2022,00:50:06,,52.59,
44,04/05/2022,00:50:06,,52.69,
45,04/05/2022,00:50:06,,52.76,
46,04/05/2022,00:50:06,,52.83,
47,04/05/2022,00:50:07,,52.92,
48,04/05/2022,00:50:07,,52.96,
49,04/05/2022,00:50:07,,53.01,
50,04/05/2022,00:50:07,,53.09,
51,04/05/2022,00:50:07,,53.16,
52,04/05/2022,00:50:08,,53.22,
53,04/05/2022,00:50:08,,53.26,
54,04/05/2022,00:50:08,,53.34,
55,04/05/2022,00:50:08,,53.41,
56,04/05/2022,00:50:08,,53.48,
57,04/05/2022,00:50:09,,53.56,
58,04/05/2022,00:50:09,,53.60,
59,04/05/2022,00:50:09,,53.67,
60,04/05/2022,00:50:09,,53.74,
61,04/05/2022,00:50:09,,53.81,
62,04/05/2022,00:50:09,,53.88,
63,04/05/2022,00:50:10,,53.91,
64,04/05/2022,00:50:10,,53.97,
65,04/05/2022,00:50:10,,54.04,
66,04/05/2022,00:50:10,,54.12,
67,04/05/2022,00:50:10,,54.19,
68,04/05/2022,00:50:11,,54.23,
69,04/05/2022,00:50:11,,54.30,
70,04/05/2022,00:50:11,,54.38,
71,04/05/2022,00:50:11,,54.44,
72,04/05/2022,00:50:11,,54.52,
73,04/05/2022,00:50:12,,54.56,
74,04/05/2022,00:50:12,,54.63,
