No.,Date,Time,Header,Data,Unit
1,03/05/2022,20:45:44,,285.57,
2,03/05/2022,20:45:44,,285.64,
3,03/05/2022,20:45:44,,285.63,
4,03/05/2022,20:45:45,,285.65,
5,03/05/2022,20:45:45,,285.66,
6,03/05/2022,20:45:45,,285.72,
7,03/05/2022,20:45:45,,285.71,
8,03/05/2022,20:45:45,,285.79,
9,03/05/2022,20:45:46,,285.82,
10,03/05/2022,20:45:46,,285.86,
11,03/05/2022,20:45:46,,285.90,
12,03/05/2022,20:45:46,,285.97,
13,03/05/2022,20:45:47,,286.01,
14,03/05/2022,20:45:47,,286.04,
15,03/05/2022,20:45:47,,286.08,
16,03/05/2022,20:45:48,,286.14,
17,03/05/2022,20:45:48,,286.20,
18,03/05/2022,20:45:48,,286.24,
19,03/05/2022,20:45:49,,286.28,
20,03/05/2022,20:45:49,,286.33,
21,03/05/2022,20:45:50,,286.41,
22,03/05/2022,20:45:50,,286.46,
23,03/05/2022,20:45:50,,286.54,
24,03/05/2022,20:45:51,,286.59,
25,03/05/2022,20:45:51,,286.67,
26,03/05/2022,20:45:52,,286.73,
27,03/05/2022,20:45:52,,286.78,
28,03/05/2022,20:45:52,,286.85,
29,03/05/2022,20:45:53,,286.93,
30,03/05/2022,20:45:53,,286.97,
31,03/05/2022,20:45:54,,287.03,
32,03/05/2022,20:45:54,,287.10,
33,03/05/2022,20:45:54,,287.17,
34,03/05/2022,20:45:55,,287.21,
35,03/05/2022,20:45:55,,287.28,
36,03/05/2022,20:45:56,,287.34,
37,03/05/2022,20:45:56,,287.41,
38,03/05/2022,20:45:56,,287.47,
39,03/05/2022,20:45:57,,287.52,
40,03/05/2022,20:45:57,,287.59,
41,03/05/2022,20:45:58,,287.67,
42,03/05/2022,20:45:58,,287.70,
43,03/05/2022,20:45:58,,287.77,
44,03/05/2022,20:45:59,,287.79,
45,03/05/2022,20:45:59,,287.86,
46,03/05/2022,20:45:59,,287.91,
47,03/05/2022,20:46:00,,287.95,
48,03/05/2022,20:46:00,,287.97,
49,03/05/2022,20:46:00,,288.05,
50,03/05/2022,20:46:01,,288.11,
51,03/05/2022,20:46:01,,288.15,
52,03/05/2022,20:46:01,,288.23,
